"Notes","Leading Cancer Sites","Leading Cancer Sites Code","States","States Code","Year","Year Code","Sex","Sex Code","Ethnicity","Ethnicity Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Age-Adjusted Rate Standard Error,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Colon and Rectum","21041-21052","Alabama","01","1999","1999","Female","F","Hispanic","2135-2",33,1761,2235.5,1533.8,3138.0,392.2,1873.9,1289.9,2631.7,326.2
,"Colon and Rectum","21041-21052","Alabama","01","1999","1999","Female","F","Non-Hispanic","2186-5",801,446347,177.3,165.2,190.0,6.3,179.5,167.2,192.3,6.3
,"Colon and Rectum","21041-21052","Alabama","01","1999","1999","Male","M","Hispanic","2135-2",20,1485,1587.6,946.5,2547.3,370.5,1346.8,822.7,2080.0,301.2
,"Colon and Rectum","21041-21052","Alabama","01","1999","1999","Male","M","Non-Hispanic","2186-5",779,316875,261.7,243.2,281.3,9.6,245.8,228.9,263.7,8.8
,"Colon and Rectum","21041-21052","Alabama","01","2000","2000","Female","F","Non-Hispanic","2186-5",880,447896,193.0,180.5,206.3,6.5,196.5,183.7,209.9,6.6
,"Colon and Rectum","21041-21052","Alabama","01","2000","2000","Male","M","Non-Hispanic","2186-5",830,319492,278.8,259.7,299.0,9.9,259.8,242.4,278.1,9.0
,"Colon and Rectum","21041-21052","Alabama","01","2001","2001","Female","F","Non-Hispanic","2186-5",847,449507,185.3,173.0,198.3,6.4,188.4,176.0,201.6,6.5
,"Colon and Rectum","21041-21052","Alabama","01","2001","2001","Male","M","Non-Hispanic","2186-5",874,323577,284.5,265.5,304.4,9.9,270.1,252.5,288.6,9.1
,"Colon and Rectum","21041-21052","Alabama","01","2002","2002","Female","F","Non-Hispanic","2186-5",816,451556,178.8,166.8,191.6,6.3,180.7,168.5,193.5,6.3
,"Colon and Rectum","21041-21052","Alabama","01","2002","2002","Male","M","Non-Hispanic","2186-5",867,328161,282.4,263.4,302.4,9.9,264.2,246.9,282.4,9.0
,"Colon and Rectum","21041-21052","Alabama","01","2003","2003","Female","F","Non-Hispanic","2186-5",849,457024,184.0,171.9,196.9,6.3,185.8,173.5,198.7,6.4
,"Colon and Rectum","21041-21052","Alabama","01","2003","2003","Male","M","Non-Hispanic","2186-5",899,335417,286.8,267.8,306.8,9.9,268.0,250.8,286.1,8.9
,"Colon and Rectum","21041-21052","Alabama","01","2004","2004","Female","F","Non-Hispanic","2186-5",821,461312,177.6,165.6,190.2,6.2,178.0,166.0,190.6,6.2
,"Colon and Rectum","21041-21052","Alabama","01","2004","2004","Male","M","Non-Hispanic","2186-5",862,342116,269.6,251.4,288.7,9.4,252.0,235.4,269.4,8.6
,"Colon and Rectum","21041-21052","Alabama","01","2005","2005","Female","F","Non-Hispanic","2186-5",853,466767,182.5,170.5,195.2,6.3,182.7,170.7,195.4,6.3
,"Colon and Rectum","21041-21052","Alabama","01","2005","2005","Male","M","Non-Hispanic","2186-5",863,349474,265.9,248.0,284.7,9.3,246.9,230.7,264.0,8.4
