"Notes","Leading Cancer Sites","Leading Cancer Sites Code","State","State Code","Year","Year Code","Sex","Sex Code","Ethnicity","Ethnicity Code",Deaths,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Age-Adjusted Rate Standard Error,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Colon and Rectum","21041-21052","Alabama","01","2018","2018","Female","F","Non-Hispanic","2186-5",326,627037,53.7,48.0,59.9,3.0,52.0,46.5,58.0,2.9
,"Colon and Rectum","21041-21052","Alabama","01","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alabama","01","2018","2018","Male","M","Hispanic","2135-2",0,7223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Alabama","01","2018","2018","Male","M","Non-Hispanic","2186-5",382,503716,84.2,75.7,93.4,4.4,75.8,68.4,83.8,3.9
,"Colon and Rectum","21041-21052","Alabama","01","2019","2019","Female","F","Hispanic","2135-2",0,7924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Alabama","01","2019","2019","Female","F","Non-Hispanic","2186-5",325,641628,52.4,46.8,58.5,2.9,50.7,45.3,56.5,2.8
,"Colon and Rectum","21041-21052","Alabama","01","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alabama","01","2019","2019","Male","M","Non-Hispanic","2186-5",349,515474,72.7,65.1,81.0,4.0,67.7,60.8,75.2,3.6
,"Colon and Rectum","21041-21052","Alabama","01","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alabama","01","2020","2020","Female","F","Non-Hispanic","2186-5",315,646662,51.2,45.7,57.2,2.9,48.7,43.5,54.4,2.7
